doi,article_title,keywords,subject_cat_desc,exemplar,cluster_label
10.1002/jbm.a.34259,"Physical properties, mechanical behavior, and electron microscopy study of a new alpha-TCP block graft with silicon in an animal model","bone graft tcp, measurement bone implant, graft tcp silicate, bone graft substitutes, bone implant",Engineering,True,4
10.1002/jcb.26540,"LncRNA XIST functions as a molecular sponge of miR-194-5p to regulate MAPK1 expression in hepatocellular carcinoma cell (Retracted article. See vol. 122, pg. 1761, 2021)","xist hcc tumorigenesis, xist inhibit tumor, xist hcc initiation, tumorigenesis suggesting xist, xist human hepatocellular",Cell Biology,True,11
10.1002/jcb.26790,"Protective effects of Progranulin against focal cerebral ischemia-reperfusion injury in rats by suppressing endoplasmic reticulum stress and NF-kappa B activation in reactive astrocytes (Retracted article. See vol. 122, 2021)","cerebral ischemia reperfusion, stress reactive astrocytes, reactive astrocytes rat, astrocytes downregulating inflammatory, activation reactive astrocytes",Biochemistry & Molecular Biology,True,10
10.1002/jcb.26469,"Effect of microRNA-128 on cisplatin resistance of glioma SHG-44 cells by targeting JAG1 (Retracted article. See vol. 122, 2021)","mir 128 cisplatin, resistance glioma shg, resistance glioma, ddp resistance glioma, effect microrna 128",Biochemistry & Molecular Biology,True,11
10.1002/jcp.28151,"Tetramethylpyrazine partially relieves hypoxia-caused damage of cardiomyocytes H9c2 by downregulation of miR-449a (Retracted article. See vol. 236, pg. 6070, 2021)","apoptosis cardiomyocytes h9c2, apoptosis cardiomyocytes, viability apoptosis cardiomyocytes, mechanisms cardiomyocyte damage, cardiomyocytes h9c2 viability",Cell Biology,True,10
10.1002/aelm.202000537,"Combined Printing of Highly Aligned Single-Walled Carbon Nanotube Thin Films with Liquid Metal for Direct Fabrication of Functional Electronic Devices (Retracted article. See vol. 7, 2021)","nanotubes swcnts considerably, nanotubes swcnts, carbon nanotubes swcnts, assemble various nanotubes, carbon nanotubes",Materials Science,True,7
10.1002/er.6023,Optimal peak shifting of a domestic load connected to utility grid using storage battery based on deepQ-learningnetwork,"purchasing energy peak, energy consumption minimize, battery storage, reduce energy consumption, emissions battery storage",Nuclear Science & Technology,True,2
10.1002/jgm.2938,"MicroRNA-4656 is a prognostic factor and tumor suppressor in human pancreatic cancer through a downstream target of TrkA (Retracted article. See vol 19, Artn e2967, 2017)","pancreatic tumors mir, mir 4656 tumor, tumors mir 4656, tumorous mir 4656, pc tumors mir",Genetics & Heredity,True,11
10.1002/jcb.29024,Overexpression of miR-4286 is an unfavorable prognostic marker in individuals with non-small cell lung cancer,"cell lung cancer, lung cancer, mir 4286 cell, lung malignancy, gene mir 4286",Cell Biology,True,11
10.1002/jcb.26024,"MicroRNA-126 Inhibits Proliferation, Migration, Invasion, and EMT in Osteosarcoma by Targeting ZEB1 (Retracted article. See vol. 122, pg. 487, 2021)","mir 126 inhibits, genes mir 126, cells mir 126, mir 126 proliferation, gene mir 126",Cell Biology,True,11
10.1002/maco.201408190,"Stress corrosion cracking of high strength stainless steels for use as strand in prestressed marine environment concrete construction (Retracted article. See vol. 67, pg. 888, 2016)","strength stainless steels, stainless steels tested, high strength stainless, strength stainless uns, alloy use prestressed",Metallurgy & Metallurgical Engineering,True,6
10.1002/jcb.27676,"Long noncoding RNA HAGLROS regulates apoptosis and autophagy in colorectal cancer cells via sponging miR-100 to target ATG5 expression (Retracted article. See vol. 122, 2021)","haglros induce apoptosis, rna haglros prognosis, cells regulation mir, apoptosis expression apoptosis, apoptosis expression",Cell Biology,True,11
10.1002/ar.24367,Long noncoding RNA TUG1 facilitates cell ovarian cancer progression through targeting MiR-29b-3p/MDM2 axis,"ovarian cancer oc, ovarian cancer, lncrna oc cell, mechanism lncrna oc, tug1 suppressed tumor",Anatomy & Morphology,True,11
